"FAC_CODE","FAC_NAME","FAC_DESCRIPTION","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","Cat_Ix","SCat_Ix","Date of last change","DIGEST Status","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","Equivalence_FC","Equivalence_AC","Equivalence_AV","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"AA511","Výsypka","N/A",,,,,,,,,,,"A","AA",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"AA514","Surface Mining/Pit Mine/Open Quarry","Area where soil/rock material is quarried above ground.",,,,,,,,,,,"A","AA",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AB000","US-Disposal Site/Waste Pile UK-Refuse Tip/Slag Heap","A site for the collecting/depositing of refuse or discarded material.  (See also AB010, AM010 and AM040)",,,,,,,,,,,"A","AB",1999/05/20 0:00:00,0,"US",,"2.1","Version 2.1: Replaced ""An area"" with ""A site"".","Add reference to AM041 Slag or Spoil Heap (if it is approved).","UK:  NO See AM041
GE:  NO See AM041
US:  YES See AM041
CZ: 
     a) The definition generally should not limit the geometric type except where the feature really can not be anything else at any resolution or scale. e.g. trigonometric point cannot be nothing but point.
     b) It is impossible to say what is waste and what is raw material. What is waste for you today can be a raw material for me tomorrow. The material should be simply an attribute not part of feature definition.
IT:  NO  See AM041
Propose to eliminate the reference to AM040 due to the exclusion for waste materials in AM040 definition. The same for the AM040 reference to AB000.",,,,,,,,,,,,,
"AB010","Wrecking Yard/Scrap Yard","An area or site engaged in the wrecking, dismantling, storage, or resale of discarded products.  (See also AB000)",,,,,,,,,,,"A","AB",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AB020","US-Burner   UK-Flare Stack","A permanent structure used for the disposal of waste products by burning.",,,,,,,,,,,"A","AB",1998/04/02 0:00:00,0,"DE",,"2.0A",,,,,,,,,,,,,,,,
"AB021","Diffuser","An artificial installation at or below water level, where liquids (e.g. cooling water, spillage) are spread out.",,,,,,,,,,,"A","AB",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove semicolon in Dutch Translation.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"AB030","Waste Processing Facility","Operational site with buildings and other facilities, where waste is processed through chemical, physical, biological or thermal procedures or a combination of those procedures.  (See also AB000 and AB020)",,,,,,,,,,,"A","AB",1998/06/24 0:00:00,0,"GE",,"2.0A",,"Required by topographic products.
",,,,,,,,,,,,,,
"AB507","Pile/Heap","Area where heaped material (waste, spoil etc.) is deposited.",,,,,,,,,,,"A","AB",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AC000","Processing Plant/Treatment Plant","A site used for changing or refining a particular material.",,,,,,,,,,,"A","AC",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AC010","Blast Furnace ","A heat chamber used for smelting iron ore.",,,,,,,,,,,"A","AC",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Capitalization
",,,,,,,,,,,,,,
"AC020","Catalytic Cracker ","A unit in which petroleum separation is carried out in the presence of a catalyst.",,,,,,,,,,,"A","AC",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AC030","Settling Basin/Sludge Pond","A site where solid matter is precipitated from a liquid by evaporating or settling.",,,,,,,,,,,"A","AC",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove space after d'.  Ruffhead Mil Survey.
",,,,,,,,,,,,,,
"AC040","Oil/Gas Facilities","An area involved in the production or distribution of oil or natural gas.",,,,,,,,,,,"A","AC",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove 2nd occurrence of ""production"".
",,,,,,,,,,,,,,
"AC041","Refinery","A system of process units used to convert crude petroleum into fuels, lubricants, and other petroleum derived products.",,,,,,,,,,,"A","AC",2002/09/09 0:00:00,2,"UH",,"AML","New Feature","Requested by UK to support their development of the Additional Military Layers (AML) Products.",,,,,,,,,,,,,,
"AC050","Works","The structures, grounds, machinery etc. of a manufacturing establishment or structures in engineering such as docks, bridges.",,,,,,,,,,,"A","AC",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AC504","Waterworks","Operational area with buildings and other facilities for the production of (drinking) water.",,,,,,,,,,,"A","AC",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AC507","Sewage Purification Plant","Operational area with buildings and facilities for the purification of wastewater.",,,,,,,,,,,"A","AC",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AD010","US-Power Plant  UK-Power Station","The building(s) and equipment necessary for the generation of electric power.  (See also AD020)",,,,,,,,,,,"A","AD",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AD020","Solar Panels ","Units of solar cells for converting sunlight into electrical energy or heat.  (See also AD010)",,,,,,,,,,,"A","AD",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AD030","Substation/Transformer Yard","A facility, along a power line route, in which electric current is transformed and/or distributed.",,,,,,,,,,,"A","AD",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Add spaces after "":"" in translations for Italian and Danish.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"AD040","Nuclear Reactor","An apparatus in which a nuclear chain reaction is initiated, sustained, and controlled.  (See also AD010) This code is used to define a nuclear reactor which may be contained within a power plant.",,,,,,,,,,,"A","AD",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AD050","Heating Plant","Operational site with buildings and other facilities for the generation of thermal energy for heating purposes.",,,,,,,,,,,"A","AD",1998/06/24 0:00:00,0,"GE",,"2.0A",,"Required by topographic products.
",,,,,,,,,,,,,,
"AE010","Assembly Plant","A building or group of buildings used for the purpose of combining manufactured parts to make a completed product.",,,,,,,,,,,"A","AE",1998/04/02 0:00:00,0,"US",,"2.0A",,,"Approved by FACC WP Dec 1997.",,,,,,,,,,,,,
"AE504","Manufacturing Plant/Industrial Plant","A facility where specified goods, products (or parts thereof) are produced in large quantities or where finished products are maintained and/or repaired.",,,,,,,,,,,"A","AE",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AF010","Chimney/Smokestack","A vertical structure containing a passage or flue for discharging smoke and gases of combustion.",,,,,,,,,,,"A","AF",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AF020","Conveyor","An apparatus for moving materials from place to place on a moving belt or series of rollers.",,,,,,,,,,,"A","AF",1998/04/02 0:00:00,0,"WP",,"2.0A",,"Replace missing feature; proposed during discussion at the Dec. 1997 FACC WP. Sheppard SAIC
",,,,,,,,,,,,,,
"AF021","Bucket Elevator","A machine, usually a series of buckets, for raising materials or liquids to a higher level.  (Oxford English Dictionary)",,,,,,,,,,,"A","AF",2000/01/21 0:00:00,0,"GE",,"2.1","Version 2.1: New Feature",,,,,,,,,,,,,,,
"AF030","Cooling Tower  ","A tower used to cool liquids.",,,,,,,,,,,"A","AF",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AF040","Crane ","A machine for lifting, shifting, and lowering objects or materials by means of a swinging boom or with the lifting apparatus supported on an overhead track.",,,,,,,,,,,"A","AF",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AF041","Sheerlegs  (Shear Legs)","Comprises two or three spars standing on end and lashed together, aloft. They serve as a derrick or tripod to lift heavy weights, step or lower masts, stacks, etc.",,,,,,,,,,,"A","AF",2000/08/07 0:00:00,0,"WP",,"2.1","Version 2.1: Removed space following masts","Typo",,,,,,,,,,,,,,
"AF050","US-Dredge/Powershovel/Dragline UK-Dredger/Powershovel/Dragline","An excavating machine for removing earth or materials.",,,,,,,,,,,"A","AF",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AF060","Engine Test Cell ","A structure wherein engines are tested.",,,,,,,,,,,"A","AF",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AF070","Flare Pipe ","An open-ended pipe at which waste gases are burned.",,,,,,,,,,,"A","AF",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Change 'open ended' to 'open-ended'.  Buckley NIMA/IPS, Ruffhead UK",,,,,,,,,,,,,,
"AF080","Hopper ","A top-loaded funnel-shaped structure for temporary holding of loose material which will be dispensed from its bottom.",,,,,,,,,,,"A","AF",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AF501","Operational Facility (General)","Unspecified building or other facility on an operational area that is of topographic relevance.",,,,,,,,,,,"A","AF",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AF502","Open Space","Part of an operational area with no buildings on it.",,,,,,,,,,,"A","AF",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AGXXX","Feature Place Holder AG","Place Holder - AG",,,,,,,,,,,"A","AG",1998/06/24 0:00:00,19,"US",,"N/A","National Feature",,,,,,,,,,,,,,,
"AH010","Bastion/Rampart/Fortification","A defensive wall built to defend a fort or other defensive work and sometimes equipped with guns.",,,,,,,,,,,"A","AH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AH020","Trench ","A linear excavation dug for defensive purposes.",,,,,,,,,,,"A","AH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AH050","Fortification ","A facility constructed for the military defense of a site.  (See also AM060)",,,,,,,,,,,"A","AH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AH060","Underground Bunker ","An underground facility used by the military either for location of command/control centers or for troop encampment.  (See also AL250)",,,,,,,,,,,"A","AH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AH070","Checkpoint","An official place to register, declare or check goods and people.",,,,,,,,,,,"A","AH",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AI020","US-Mobile Home/Mobile Home Park  UK-Caravan/Caravan Park/Mobile Home/Mobile Home Park","A site for the permanent parking of trailer(s) used as dwellings and designed without a permanent foundation.  (See also AK060 and AQ140)",,,,,,,,,,,"A","AI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AI030","Camp ","A place where tents or buildings serve as temporary residence for members of an organization.",,,,,,,,,,,"A","AI",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AJ010","Circular Irrigation System","An elevated irrigation system revolving around a central pivot point.",,,,,,,,,,,"A","AJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AJ020","Siphon","Bent or curved tube so arranged that liquid flows up or down through it under the force of gravity.",,,,,,,,,,,"A","AJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AJ030","Feed Lot/Stockyard/Holding Pen","An enclosed area in which livestock are temporarily kept.",,,,,,,,,,,"A","AJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AJ050","Windmill ","A wind-driven system of vanes attached to a tower like structure (excluding wind-generated power plants).",,,,,,,,,,,"A","AJ",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AJ051","Windmotor ","A modern structure used for wind power.",,,,,,,,,,,"A","AJ",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Change 'for use' to 'used for'.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"AJ501","Water Wheel","Wheel with vanes or cells that makes use of the energy produced by flowing water in order to give drive or that is driven by outside power sources in order to transport the water upwards.",,,,,,,,,,,"A","AJ",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AK010","Pub","A mandatory place of entertainment for Naval personnel.",,,,,,,,,,,"A","AK",2001/06/07 0:00:00,7,"AH",,"WDR","Withdrawn","Requested by UKHO.
Description questioned by Germany.  US agrees, needs work.
Discuss at 1/03 FACCWP.","Essential feature on all nautical charts ;-)
Description questioned by Germany.  US agrees, needs work.
Discuss at 1/03 FACCWP.",,,,,,,,,,,,,
"AK020","Amusement Park Attraction  ","A large structure located in an Amusement Park.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK030","Amusement Park ","A predominantly man-made facility equipped with recreational devices.  (See also AK090 and AK120)",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK040","US-Athletic Field  UK-Athletic Field/Sports Field/Playing Field","An open area where sporting events, exercises, or games occur.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK050","Tennis Court(s)","An area or site used for the sport of tennis.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK060","Campground/Campsite","A location for camping.  (See also AI020 and AQ140)",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK061","Picnic Site","A parcel of land that has picnic tables for public use.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK070","US-Drive In Theater  UK-Drive-in Theatre","A place where motion pictures are shown while viewers remain in their vehicles.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK080","US-Drive In Theater Screen UK-Drive-in Theatre Screen","A large outdoor screen for showing motion pictures.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK090","US-Fairgrounds  UK-Fairground","An area where permanent facilities exist to hold outdoor fairs, circuses or exhibitions.  (See also AK030 and AK120)",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK091","Exhibition Grounds","An area where permanent facilities exist to hold outdoor exhibitions.  (See also AK030, AK090, and AK120)",,,,,,,,,,,"A","AK",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Remove space after 'd''.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"AK100","Golf Course ","An area of land laid out for the game of golf.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK101","Golf Driving Range ","A parcel or tract of land used for practicing golf shots.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK110","Grandstand  ","A usually roofed structure for special viewing of events and having tiers of seats or standing room for spectators.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK115","Amfiteátr","N/A",,,,,,,,,,,"A","AK",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"AK120","Park ","An area used for recreational or ornamental purposes.  (See also AK030, AK090 and AL170)",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK121","Lookout","An area, generally an elevated place, with facilities for observing the scenery.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK122","Green Space","A maintained vegetated area, which may also contain pathways.  Its primary intent is to improve the appearance of a Built-Up Area, and which is not a park.  (See also AK120)",,,,,,,,,,,"A","AK",2000/01/21 0:00:00,0,"GE",,"2.1","Version 2.1: New Feature",,,,,,,,,,,,,,,
"AK123","Park Bench","A long hard seat for two or more persons, located on land reserved for public use.  Often found backless and attached to or adjacent to a picnic table.",,,,,,,,,,,"A","AK",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data","
",,,,,,,,,,,,,
"AK124","Picnic Table","A flat horizontal surface supported by one or more vertical legs, often with attached benches for seating.",,,,,,,,,,,"A","AK",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data","
",,,,,,,,,,,,,
"AK130","US-Race Track  UK-Race Track/Race Course","A course for racing.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK140","Planter","A container for plants, usually decorative and permanent.",,,,,,,,,,,"A","AK",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data","
",,,,,,,,,,,,,
"AK141","Statue Pedestal","An architectural support or base for a statue.",,,,,,,,,,,"A","AK",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data","
",,,,,,,,,,,,,
"AK150","Ski Jump ","A ramp used for ski jumping.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK155","Ski Track","A course prepared for skiing.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK160","US-Stadium/Amphitheater  UK-Stadium/Ampitheatre","An arena for holding and viewing events.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK170","Swimming Pool  ","A constructed basin used for swimming outdoors.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK180","Zoo/Safari Park","An area with a collection of live animals usually for public display.",,,,,,,,,,,"A","AK",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AK190","Fishing Pier/Promenade Pier","A structure extending into the water used as a platform for recreational purposes, not intended as a berthing place for vessels.",,,,,,,,,,,"A","AK",1998/04/02 0:00:00,0,"US",,"2.0A",,,"Approved by FACC WP Dec 1997.",,,,,,,,,,,,,
"AK537","Sports Facilities","Area with buildings and facilities designed for (competitive) sports and for accommodating spectators.",,,,,,,,,,,"A","AK",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AK538","Recreation Facilities","Area with buildings and facilities designed for recreational purposes. Recreational facilities comprise “open-air theater”, “open-air museum”, “swimming pool/lido”,  “zoo/safari park”, “amusement park/recreation park” and  “drive-in cinema”.",,,,,,,,,,,"A","AK",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AK538a","Swimming Pool/Lido"," Facilities with a pool or on the bank of a water body used for bathing or swimming.",,,,,,,,,,,"A","AK",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AK544","Playing Field/Playing Area","Area where sports and/or cultural events take place.",,,,,,,,,,,"A","AK",2000/10/19 0:00:00,53,"GE",,"NAT","National Feature",,,,,,,,,,,,,,,
"AK660","Sportovní Hala","N/A",,,,,,,,,,,"A","AK",2000/09/06 0:00:00,53,"CZ",,"NAT","National Feature",,,,,,,,,,,,,,,
"AL005","Animal Sanctuary ","A natural area set aside for the preservation and protection of wildlife.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL012","Archeological Site ","A site or location where remains of ancient civilizations or human activity have been discovered.  (See also AL200)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL015","Building","A relatively permanent structure, roofed and usually walled and designed for some particular use.  (See also AL100)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL016","Overhang (Storefront)","A canopy or ledge attached to the front of a building and protruding beyond the perimeter wall.",,,,,,,,,,,"A","AL",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Required for Urban Warfare Data","
",,,,,,,,,,,,,
"AL017","Fire Hydrant","An apparatus for drawing water directly from a main, especially alongside a street or road, consisting of a pipe with one or more nozzles or spouts, to which a hose of a fire-engine may be attached.",,,,,,,,,,,"B","BH",2002/09/05 0:00:00,0,"US","FWP 10","2.2","New Feature","Required for Urban Warfare Data","GE: Even if water comes out of it – that is not “Hydrography”. It would be acceptable as a feature of sub-category AL.
RB: Agree, changed code from BH171 to AL017.",,,,,,,,,,,,,
"AL018","Building Superstructure Addition ","A supplemental portion of a building which rises from the roof but is not considered to be part of the general roof line.",,,,,,,,,,,"A","AL",1998/06/24 0:00:00,0,"WP",,"2.0A",,"Add 'to be' before 'part'.  Buckley NIMA/IPS",,,,,,,,,,,,,,
"AL019","Shed","A storage facility usually characterized by one or more open sides, support pillars and a roof.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL020","Built-Up Area ","An area containing a concentration of buildings and other structures.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL021","Historical Built-Up Area","An area that constitutes a concentration of historical buildings or other historical structures within a built up area.",,,,,,,,,,,"A","AL",1999/07/09 0:00:00,0,"IT",,"2.1","Version 2.1: New Feature","To permit mapping the Italian DB25 (scale 25.000 - Italian database) to FACC.","UK:  YES
US:  YES
GE:  NO  Approved, if it is clear what „historical“ means. Nations will probably have
different interpretations.  Question to IT : How would, for example, the Forum Romanum be extracted ? As AL021 Historical Built Up Area or AL012 Archeological Site or AL200 Ruins ? (The question arises due to the definition that reads „...a concentration of...other historical structures“).
IT:   ---  Further clarification will be provided at FWP7",,,,,,,,,,,,,
"AL025","Cairn ","A heap of stones piled up as a memorial or a landmark.  (See also AL090 and AL130)",,,,,,,,,,,"A","AL",2000/08/07 0:00:00,0,"WP",,"2.1","Version 2.1: Removed comma following AL090.","Typo",,,,,,,,,,,,,,
"AL030","US-Cemetery  UK-Cemetery/Graveyard","An area of land for burying the dead.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL040","Cliff Dwelling","A dwelling built in the recesses of cliffs.  (See also AL250)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL045","Complex Outline ","An outline delimiting an area in which two or more like features have the same function.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL050","US-Display Sign  UK-Display Sign/Notice Board","An upright panel used to convey visual information.  (See also AL080)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL060","Dragon Teeth ","Regularly spaced concrete or metal barriers laid in single or multiple rows to prevent vehicle movement.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL065","Minefield","An area throughout which explosive mines have been laid.  (Modified from EDCS)",2,,1,,,,2,1,1,,"A","AL",2003/04/07 13:02:18,0,"US","2003-10-21","2.2","New Feature","US has a requirement to incorporate minefields into Mission Specific Data.",,,,,"See GE",,,,,,"We propose another definition : An area throughout which explosive mines have been laid.   (modified from EDCS)",,,
"AL070","Fence ","A man-made barrier of relatively light structure used as an enclosure or boundary.  (See also AL260)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL073","Flagstaff/Flagpole","A staff or pole on which a flag is raised.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL075","Gallery ","A sunken or cut passageway along a transportation route in mountainous regions constructed to protect vehicles from the elements.  A series of openings on one side may be present for light or ventilation.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL080","Gantry ","A frame structure raised on side supports so as to span over or around something.  (See also AL050)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL090","US-Grave Marker   UK-Grave Marker/Tombstone","A marker indicating an individual grave site.  (See also AL025 and AL130)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL095","Homogeneous Radar Significant Area","A cluster of structures that combine to form a homogeneous area when grouped according to a common radar reflectance and a common height value.",,,,,,,,,,,"A","AL",2002/09/05 0:00:00,0,"US","FWP 09","2.2","New Feature","Feature Level Data Base (FACS Migration)",,,,,,,,,,,,,,
"AL100","Hut  ","A small simple or crude house or shelter.  (See also AL015)",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL101","Cabin","A building in a remote or wilderness area.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL105","Settlement ","A concentration of small dwellings.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
"AL110","US-Light Standard/Light Support  UK-Light Standard/Light Support/Lamp Post","A structure serving as a support for lighting.",,,,,,,,,,,"A","AL",1997/01/01 0:00:00,0,,,"2.0",,,,,,,,,,,,,,,,
