"ATT_CODE","DIGEST Status","US","CA","UK","FR","BE","NL","GE","SE","CZ","IT","ATT_NAME","ATT_DESCRIPTION","ATT_TYPE","ATT_FORMAT","ATT_LENGTH","MIN_VAL","MAX_VAL","Date of last change","Source of Proposed Change","Approval Notes","Report Number","Change History","Justification","Comments","US Comments","CA Comments","UK Comments","FR Comments","BE Comments","NL Comments","GE Comments","SE Comments","CZ Comments","IT Comments"
"AVB",0,,,,,,,,,,,"Highway Access Road Category","Classification of access roads by the type of road they access.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"AVR",0,,,,,,,,,,,"Railroad Access Category","Classification of access roads by the type of railroad they access.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"AWD",0,,,,,,,,,,,"Air Route Segments Width","Width of individual air route segments.","Numeric","Short Integer",1,-32767.00,32767.00,1998/06/24 0:00:00,"US",,"2.0A",,"Change NM to Nautical Miles.    Buckley NIMA/IPS",,,,,,,,,,,
"AWO",0,,,,,,,,,,,"Amount of Water Output","The quantity of Water output from the feature.","Numeric","Floating Point",1,,,2002/04/23 0:00:00,"GE","FWP 08","2.2","New Attribute","MIGD Migration",,,,,,,,,,,
"AZ1",0,,,,,,,,,,,"Lowest Airspace Z-value","Measurement to specify lowest vertical limits.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AZ2",0,,,,,,,,,,,"Highest Airspace Z-value","Measurement to specify highest vertical limits.","Numeric","Short Integer",1,-32767.00,32767.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"AZ3",0,,,,,,,,,,,"Minimum Safe Altitude Sector","The minimum safe altitude, in feet, above MSL which provides a 1000 foot obstacle clearance within the airspace.","Numeric","Short Integer",1,-32767.00,32767.00,1998/06/24 0:00:00,"US",,"2.0A",,"Needed to support DFLIP and VVOD.
",,,,,,,,,,,
"B01",0,,,,,,,,,,,"Fuel Storage Method","Method of aircraft fuel storage for like fuel storage containers.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"BAC",0,,,,,,,,,,,"Built-Up Area Classification","The indication of the relative density of the Built-Up Area.","Coded","Short Integer",1,0.00,999.00,1998/06/24 0:00:00,"US",,"2.0A",,,,,,,,,,,,,
"BCC",0,,,,,,,,,,,"Bypass Condition Category","The ease or ability to circumvent a destroyed section of bridge, tunnel or pass within a 2 kilometer distance on each side of the feature.  Bypass condition will not consider other bridges in bypass determination.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BCR",0,,,,,,,,,,,"Bottom Return Rock Classification","Tabulates bottom return rock.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BCT",0,,,,,,,,,,,"Bottom Configuration Type","The type of configuration of underwater bottom topography.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BDC",0,,,,,,,,,,,"Bridge Design Category","Structural design characteristics of the bridge or bridge segment.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BDS",0,,,,,,,,,,,"BiDirectional Status","Indicates whether something is one or two way.  Do not confuse with ADT Access Direction Type.","Coded","Short Integer",1,0.00,999.00,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Breakout of multiconcept attributes i.e. USE and EXS","GE: Yes",,,,,,,,,,
"BDT",0,,,,,,,,,,,"Beacon-Daymark Relationship","Defines whether the BC010 feature  is a beacon, a daymark, or both.","Coded","Short Integer",1,0.00,999.00,1999/05/20 0:00:00,"US",,"2.1","Version 2.1: New Attribute to distinguish between beacons, daymarks, and beacons with daymarks.","Needed to distinguish between beacons, daymarks, and beacons with daymarks.  Can't create a new feature Daymark since in VPF two features may not occupy the same identical coordinates.","UK: YES
GE: YES
IT: YES",,,,,,,,,,
"BEN",0,,,,,,,,,,,"Basic Encyclopedia Number","Unique number associated with a feature which is used to identify the feature in other national or intelligence data bases.","Text","ASCII Text",16,,,1998/04/02 0:00:00,"US",,"2.0A",,"Required by littoral warfare data (LWD) and by UVMAP.","US proposal.  
UK concur but seek assurance that 10 characters is sufficient, and has come from an authoritative source.",,,,,,,,,,
"BER",0,,,,,,,,,,,"Berth Identifier","The designated number or letter used to identify this feature.","Text","Lexical",80,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BET",0,,,,,,,,,,,"Beacon Type Category","Type of beacon.","Coded","Short Integer",1,0.00,999.00,1998/04/02 0:00:00,"CA",,"2.0A",,"Addition or modification required for mapping IHO S-57 to FACC.  Also to break out the concept of Buoys from Beacons that are combined under BTC.
",,,,,,,,,,,
"BFC",0,,,,,,,,,,,"Building Function Category","Type or purpose of the building.","Coded","Short Integer",1,0.00,999.00,1998/09/17 0:00:00,"US",,"2.0",,,,,,,,,,,,,
"BGL",0,,,,,,,,,,,"Bank Gradient Left","Slope of the left bank (facing downstream) above water level.","Numeric","Short Integer",1,,,1999/05/20 0:00:00,"US",,"2.1","Version 2.1: Removed range limits of +/- 90%.","Remove range limits of +/- 90%.  Many banks are steeper than that.","UK:  YES Please check for backward compatibility presentation.
GE:  YES
CZ:  There was an evident typing error using % instead of ° (angular degrees). It is necessary to repair it.  Or to create new attributes with correct definitions.  Othervise a vertical bank - which is very often - will have the value of infinity (or undefined) % !!!   We can extend the range but not to infinity.
IT:  NO Agree with CZ comment,
US:  In DIGEST 2.0 the units are in percent, not degrees.  Why are these changes not OK when the same changes to BWL and BWR are?",,,,,,,,,,
"BGR",0,,,,,,,,,,,"Bank Gradient Right","Slope of the right bank (facing downstream) above water level.","Numeric","Short Integer",1,,,1999/05/20 0:00:00,"US",,"2.1","Version 2.1: Removed range limits of +/- 90%.","Remove range limits of +/- 90%.  Many banks are steeper than that.","UK:  YES Please check for backward compatibility presentation.
GE:  YES
CZ:  There was an evident typing error using % instead of ° (angular degrees). It is necessary to repair it.  Or to create new attributes with correct definitions.  Othervise a vertical bank - which is very often - will have the value of infinity (or undefined) % !!!   We can extend the range but not to infinity.
IT:  NO Agree with CZ comment,
US:  In DIGEST 2.0 the units are in percent, not degrees.  Why are these changes not OK when the same changes to BWL and BWR are?",,,,,,,,,,
"BHL",0,,,,,,,,,,,"Bank Height Left","Height of the left bank above the water level (facing downstream) to the average water level.","Numeric","Short Integer",1,-32767.00,32767.00,1998/06/24 0:00:00,"US",,"2.0A",,"Change decimeter to decimetres.  2.0 is inconsistent.    Buckley NIMA/IPS",,,,,,,,,,,
"BHR",0,,,,,,,,,,,"Bank Height Right","Height of the right bank above the water level (facing downstream) to the average water level.","Numeric","Short Integer",1,-32767.00,32767.00,1998/06/24 0:00:00,"US",,"2.0A",,"Change decimeter to decimetres.  2.0 is inconsistent.    Buckley NIMA/IPS",,,,,,,,,,,
"BIT",0,,,,,,,,,,,"Beach Indicator Type","Indicates the relative portion of a beach.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BLC",0,,,,,,,,,,,"Barge Load Class","A description of any load restrictions which apply to barges using a section of waterway or facility.","Text","Lexical",80,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BMC",0,,,,,,,,,,,"Bottom Materials Composition","Predominant material composition of the bottom of a body of water.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BNF",0,,,,,,,,,,,"Building Number of Floors","The number of floors in a building.","Numeric","Short Integer",1,,,2002/09/05 0:00:00,"US","FWP 09","2.2","New Attribute","Required for FACS migration of legacy data to FACC for FLDB and GIDI population.","GE: Yes",,,,,,,,,,
"BOC",0,,,,,,,,,,,"Bog Category","Tabulates the components or structure of a bog.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BOT",0,,,,,,,,,,,"Bridge Opening Type","The type of structure or mechanism by which a portion of a bridge is moved to allow passage of a vessel.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,"GE: Yes",,,,,,,,,,
"BR2",0,,,,,,,,,,,"Broadcast Frequency (2)","The frequency on which a station broadcasts (second occurrence).","Numeric","Long Integer",1,,,1998/06/24 0:00:00,"US",,"2.0A",,"Add space before (.    Buckley NIMA/IPS",,,,,,,,,,,
"BRA",0,,,,,,,,,,,"Bottom Return Attributes Classification","Tabulates bottom return attributes.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BRC",0,,,,,,,,,,,"Bottom Return Classification","Tabulates bottom return types.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BRF",0,,,,,,,,,,,"Broadcast Frequency","Broadcast frequency of a communications device.","Numeric","Long Integer",1,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BRG",0,,,,,,,,,,,"Bearing of Object","The bearing of an object from an observer (on any point along the line) towards the object or feature, expressed in degrees and tenths (e.g. 3.0 degrees).","Numeric","Floating Point",1,0.00,359.90,2000/08/07 0:00:00,"WP",,"2.1","Version 2.1: Modified DEG to degrees.",,,,,,,,,,,,
"BRI",0,,,,,,,,,,,"Bottom Return Identity Classification","Tabulates bottom return identity.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BRN",0,,,,,,,,,,,"Bridge Reference Number","A unique number relating information to bridge and bridge spans.","Text","ASCII Text",24,,,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
"BRO",0,,,,,,,,,,,"Bottom Return Obstacles Classification","Tabulates bottom return obstacles.","Coded","Short Integer",1,0.00,999.00,1997/01/01 0:00:00,,,"2.0",,,,,,,,,,,,,
